Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
2075,MINI,COOPER,1969,1300,Automatic,Petrol,616000,Kiribathgoda,12/20/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,25.75
2076,MINI,COOPER,1997,1300,Automatic,Petrol,308000,Panadura,12/15/2024,No Leasing,USED,Available,Available,Not_Available,Not_Available,31.5
2077,MINI,COOPER,1970,1000,Manual,Petrol,605000,Negombo,12/8/2024,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,18.9
2078,MINI,COOPER S TURBO,2007,1600,Manual,Petrol,198000,Pannala,2/5/2025,No Leasing,USED,Available,Available,Available,Available,98
2079,MINI,COOPER SPORT TWIN TURBO,2019,1200,Automatic,Petrol,66000,Moratuwa,1/24/2025,No Leasing,USED,Available,Available,Available,Available,159
2080,MINI,MINER,1968,1300,Automatic,Petrol,627000,Kalutara,1/23/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,20.5
2081,MINI,MORISS,1965,990,Automatic,Petrol,660000,Kuliyapitiya,2/5/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,18.75
2082,MINI,MORRIS COOPER,1969,1275,Manual,Petrol,616000,Maharagama,1/31/2025,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,40
2083,MITSUBISHI,4DR5 J24,1980,2680,Manual,Diesel,495000,Galle,1/18/2025,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,38.5
2084,MITSUBISHI,ATTRAGE,2016,1290,Automatic,Petrol,99000,Battaramulla,2/5/2025,No Leasing,USED,Available,Available,Available,Available,75.9
2085,MITSUBISHI,C12,1985,1500,Manual,Petrol,440000,Kurunegala,2/4/2025,No Leasing,USED,Available,Available,Not_Available,Not_Available,7.4
2086,MITSUBISHI,C12,1985,1500,Manual,Petrol,440000,Kurunegala,2/2/2025,No Leasing,NEW,Available,Available,Not_Available,Available,7.5
